0,164
1,139
2,213
3,153
4,111
5,117
6,153
7,120
8,135
9,100
10,103
11,131
12,169
13,107
14,183
15,158
16,141
17,144
18,134
19,106
20,100
21,182
22,111
23,138
24,162
25,142
26,135
27,106
28,233
29,115
30,133
31,109
32,125
33,154
34,124
35,107
36,108
37,144
38,188
39,112
40,118
41,146
42,106
43,105
44,115
45,133
46,122
47,234
48,106
49,107
50,141
51,181
52,217
53,145
54,353
55,101
56,199
57,105
58,143
59,148
60,118
61,129
62,103
63,103
64,104
65,111
66,118
67,122
68,154
69,159
70,149
71,160
72,102
73,134
74,104
75,112
76,104
77,109
78,103
79,110
80,119
81,126
82,178
83,150
84,109
85,114
86,102
87,116
88,173
89,103
90,111
91,124
92,119
93,110
94,200
95,127
96,111
97,104
98,113
99,107
100,109
101,120
102,124
103,105
104,139
105,140
106,101
107,113
108,138
109,117
110,150
111,105
112,129
113,104
114,108
115,102
116,106
117,138
118,109
119,106
120,165
121,108
122,114
123,113
124,128
125,101
126,121
127,100
128,141
129,154
130,126
131,126
132,114
133,114
134,155
135,109
136,149
137,296
138,253
139,117
140,286
141,102
142,159
143,101
144,107
145,163
146,102
147,102
148,101
149,100
150,109
151,154
152,179
153,102
154,195
155,176
156,145
157,110
158,109
159,144
160,148
161,151
162,157
163,114
164,111
165,133
166,101
167,106
168,119
169,181
170,148
171,120
172,103
173,128
174,131
175,131
176,100
177,134
178,207
179,161
180,121
181,215
182,131
183,245
184,109
185,116
186,167
187,108
188,155
189,162
190,109
191,147
192,102
193,127
194,111
195,203
196,205
197,113
198,119
199,146
200,205
201,172
202,120
203,118
204,103
205,150
206,107
207,108
208,105
209,101
210,113
211,103
212,190
213,102
214,117
215,104
216,132
217,170
218,221
219,106
220,142
221,111
222,135
223,118
224,145
225,191
226,110
227,265
228,118
229,156
230,118
231,111
232,134
233,116
234,135
235,160
236,258
237,171
238,138
239,130
240,136
241,122
242,136
243,103
244,134
245,133
246,182
247,311
248,101
249,230
250,104
251,114
252,118
253,189
254,160
255,103
256,107
257,114
258,106
259,148
260,112
261,199
262,119
263,102
264,106
265,122
266,117
267,134
268,102
269,100
270,164
271,113
272,115
273,101
274,185
275,163
276,131
277,100
278,113
279,134
280,107
281,153
282,127
283,102
284,156
285,123
286,204
287,146
288,102
289,127
290,103
291,107
292,174
293,249
294,108
295,128
296,155
297,156
298,111
299,116
300,151
301,103
302,123
303,104
304,106
305,146
306,127
307,134
308,139
309,183
310,113
311,114
312,196
313,175
314,102
315,112
316,126
317,121
318,102
319,112
320,166
321,105
322,113
323,143
324,159
325,155
326,119
327,103
328,146
329,107
330,118
331,154
332,103
333,280
334,132
335,133
336,161
337,193
338,179
339,111
340,100
341,156
342,103
343,127
344,117
345,170
346,288
347,120
348,100
349,114
350,122
351,119
352,116
353,187
354,147
355,178
356,124
357,246
358,140
359,104
360,106
361,238
362,154
363,150
364,196
365,129
366,109
367,265
368,111
369,109
370,108
371,126
372,129
373,121
374,212
375,108
376,115
377,115
378,134
379,103
380,144
381,155
382,190
383,185
384,110
385,149
386,111
387,224
388,106
389,125
390,114
391,112
392,150
393,102
394,226
395,106
396,114
397,124
398,117
399,162
400,132
401,119
402,174
403,134
404,157
405,187
406,134
407,116
408,159
409,101
410,104
411,121
412,182
413,131
414,183
415,104
416,154
417,127
418,109
419,103
420,134
421,263
422,103
423,119
424,110
425,132
426,244
427,128
428,169
429,157
430,123
431,142
432,100
433,105
434,117
435,142
436,100
437,218
438,364
439,102
440,126
441,156
442,102
443,192
444,142
445,177
446,132
447,193
